filename,extension,size_mb,is_scanned,strategy,pii_fields
f38dfe88-6302-40db-afca-b240b308436dIMS335 CEE_V1_fd.pdf,.pdf,0.31569576263427734,False,PyMuPDF,0
3b823e13-c54d-4951-89c7-ec3a330e07f41. LRE074 CIE IRVE fd.pdf,.pdf,0.2645864486694336,False,PyMuPDF,0
2a224646-4204-4c63-98e0-62d98bbaf4524. CIE AU085-8 fd.pdf,.pdf,0.3060312271118164,False,PyMuPDF,0
e81dc1cb-c333-49e4-9178-e2ca0ca772321. Solicitud_coope_fase 2.pdf,.pdf,1.5751371383666992,False,PyMuPDF,0
9463000d-882a-49eb-8335-d057be4d02aa4. CIE.pdf,.pdf,0.78369140625,False,PyMuPDF,0
2432408d-38cc-41e5-880e-1554b86fcd5dJ01. Informe justificativo-243.pdf,.pdf,0.19047260284423828,False,PyMuPDF,0
35783cb5-3b6c-44fa-88f0-b039e5e3e8df6. Tabla fd2.pdf,.pdf,0.19710731506347656,False,PyMuPDF,0
5a2b221f-d7a6-4155-9b9f-91255563cab31. LRE221 CIE.xlsx,.xlsx,0.042873382568359375,False,openpyxl,0
51fdeecb-e7f0-4946-83b3-6c4605798acfSalarios.pdf,.pdf,0.041069984436035156,False,PyMuPDF,0
64563d87-a67c-41ac-a7f6-50a0076e9d04PDFsam_merge(1).pdf,.pdf,7.60953426361084,False,PyMuPDF,0
51fc735c-4cc4-4658-9f76-11e25080efbeilovepdf_merged (11).pdf,.pdf,0.8904943466186523,False,PyMuPDF,0
e9ae406a-fa7f-4d93-9ce9-cba847eb285a5.1.  CIE.pdf,.pdf,0.3154411315917969,False,PyMuPDF,0
8c999044-59fc-4498-9f92-e7c61b27aaba3. LRE039 Anexo IRVE.pdf,.pdf,1.2243947982788086,False,PyMuPDF,0
89c5a5b7-beac-4e10-834d-c0b785633ee3Carta compromiso Ecooo fd.pdf,.pdf,0.23214054107666016,False,PyMuPDF,0
a0518f08-d582-4603-a442-7752499347e01. Solicitud_coope_fase 2.pdf,.pdf,1.5740327835083008,False,PyMuPDF,0
aa599849-dd35-4723-bfe8-090199b9445f3. C295 Solicitud inscripción.pdf,.pdf,0.9999561309814453,False,PyMuPDF,0
8b6152cd-369e-4c9d-9896-c02b1339617fDelta B17 3A_CEE_V1_fd.pdf,.pdf,0.28145503997802734,False,PyMuPDF,0
a55ae90b-6129-48a2-b1aa-1625d639d39f7.2. Tramitación con Industria_CIE.pdf,.pdf,0.7904996871948242,False,PyMuPDF,0
b7c6ff9b-f0f4-4838-adc1-f6bd284bbb02IMS310 CEE 2º.pdf,.pdf,0.2736349105834961,False,PyMuPDF,0
d7a52b23-434c-49df-9b86-892b13d563024. LRE414 CIE ECOOO SF.pdf,.pdf,0.24361801147460938,False,PyMuPDF,0
ce3da227-190e-4b81-889d-f6b4eb97757a4. DR Técnico.pdf,.pdf,1.0365467071533203,False,PyMuPDF,0
2d94ee92-4dd2-46f5-8be6-59c2713e95b37.2. Tramitación con Industria_CIE.pdf,.pdf,0.7858285903930664,False,PyMuPDF,0
3562d17b-7df9-4228-a708-6dd983ce67e8AU044 MC PN  3 1C_V1.pdf,.pdf,0.2862997055053711,False,PyMuPDF,0
c2d4fbbb-2e49-4bf0-8907-82228b9a8441AU057 CM T 59 6 1E_V2_fd.pdf,.pdf,0.36145687103271484,False,PyMuPDF,0
bb8561e4-56e5-4599-a90d-99e4da4f517bLRE012 just_registro_13-11-24.pdf,.pdf,1.0240001678466797,False,PyMuPDF,0
fbaa3374-93a1-40cb-92f0-b928ff2b88f91. Solicitud_coope_fase 2.pdf,.pdf,1.5746307373046875,False,PyMuPDF,0
307c8371-56f4-46cc-8523-2c36c7c9cd5e1.LRE073 Solicitud_coope_fase 2.pdf,.pdf,1.7078886032104492,False,PyMuPDF,0
af95cf26-c7a8-488f-83b8-4da9c092b73ajustificante_registro_solicitud (19).pdf,.pdf,0.2695484161376953,False,PyMuPDF,0
76536a5d-f6d0-4571-b295-3dadfcf21de73. LRE295 Solicitud inscripción.pdf,.pdf,0.9918546676635742,False,PyMuPDF,0
3d01d95b-7422-4249-a2e7-509bbe905bd3J01. Informe justificativo-238.pdf,.pdf,0.19038963317871094,False,PyMuPDF,0
cda1e4d9-8050-44ca-9b2e-b6957c1b76cbDelta B3 2A_CEE_V1_fd.pdf,.pdf,0.2831077575683594,False,PyMuPDF,0
22c0b499-6ef7-40c1-9c69-6f3c3ddca6a6LPR0501_praast_modelo_informe_justificativo_R (4).pdf,.pdf,1.8932380676269531,False,PyMuPDF,0
a72f77e8-be91-41c8-94f2-aaa441f3c3cfJ01. Informe lre396 fdo2.pdf,.pdf,1.9450435638427734,False,PyMuPDF,0
5ed5b2b8-625f-4f5c-8b75-e909b42682ffC3A_CEE_V2.pdf,.pdf,0.2554292678833008,False,PyMuPDF,0
